Gmt time,Open,High,Low,Close,Volume
07.01.2020 05:40:00.000,131.692,131.692,131.688,131.688,101.38
07.01.2020 05:45:00.000,131.688,131.688,131.637,131.654,427.98
07.01.2020 05:50:00.000,131.653,131.654,131.607,131.624,360.33
07.01.2020 05:55:00.000,131.623,131.627,131.531,131.538,8.748.900.000.000.000
07.01.2020 06:00:00.000,131.539,131.576,131.476,131.574,1255.1
07.01.2020 06:05:00.000,131.575,131.617,131.558,131.602,750.5
07.01.2020 06:10:00.000,131.603,131.620,131.595,131.618,486.86
07.01.2020 06:15:00.000,131.618,131.624,131.557,131.572,43.403.000.000.000.000
07.01.2020 06:20:00.000,131.571,131.571,131.501,131.543,6.331.800.000.000.000
07.01.2020 06:25:00.000,131.543,131.582,131.538,131.567,481.49
07.01.2020 06:30:00.000,131.567,131.569,131.543,131.557,371.75
07.01.2020 06:35:00.000,131.559,131.605,131.557,131.599,275.43
07.01.2020 06:40:00.000,131.600,131.621,131.552,131.561,607.1
07.01.2020 06:45:00.000,131.561,131.583,131.557,131.582,369.12
